Angle,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction
44.125992,1470.866455,1470.866455,1470.866455,1470.866455,clockwise,0,0,1245.113770,1245.113770,counterclockwise
48.799847,1626.661621,1626.661621,1626.661621,1626.661621,clockwise,0,0,2403.443604,2403.443604,counterclockwise
31.303482,1043.449463,1043.449463,1043.449463,1043.449463,clockwise,0,0,3152.110840,3152.110840,counterclockwise
0.764492,25.483072,25.483072,25.483072,25.483072,clockwise,0,0,1253.810059,1253.810059,clockwise
15.030596,501.019897,501.019897,501.019897,501.019897,clockwise,0,0,2526.094727,2526.094727,counterclockwise
12.232414,407.747162,407.747162,407.747162,407.747162,clockwise,0,0,947.965210,947.965210,clockwise
30.961002,1032.033447,1032.033447,1032.033447,1032.033447,counterclockwise,0,0,2901.418701,2901.418701,counterclockwise
22.677628,755.920959,755.920959,755.920959,755.920959,clockwise,0,0,872.920288,872.920288,clockwise
21.530693,717.689819,717.689819,717.689819,717.689819,counterclockwise,0,0,1974.832764,1974.832764,counterclockwise
49.161858,1638.728760,1638.728760,1638.728760,1638.728760,clockwise,0,0,2644.979736,2644.979736,counterclockwise
23.026382,767.546143,767.546143,767.546143,767.546143,counterclockwise,0,0,2612.665771,2612.665771,counterclockwise
28.060078,935.335999,935.335999,935.335999,935.335999,counterclockwise,0,0,1454.128784,1454.128784,counterclockwise
45.458599,1515.286743,1515.286743,1515.286743,1515.286743,clockwise,0,0,2428.500732,2428.500732,counterclockwise
0.164500,5.483332,5.483332,5.483332,5.483332,counterclockwise,0,0,2887.978516,2887.978516,counterclockwise
25.861620,862.054077,862.054077,862.054077,862.054077,counterclockwise,0,0,560.581848,560.581848,counterclockwise
20.520138,684.004639,684.004639,684.004639,684.004639,clockwise,0,0,647.416931,647.416931,counterclockwise
35.214973,1173.832520,1173.832520,1173.832520,1173.832520,counterclockwise,0,0,2500.642578,2500.642578,counterclockwise
4.181198,139.373276,139.373276,139.373276,139.373276,clockwise,0,0,146.995392,146.995392,counterclockwise
19.274788,642.492981,642.492981,642.492981,642.492981,clockwise,0,0,1109.462646,1109.462646,counterclockwise
41.240856,1374.695312,1374.695312,1374.695312,1374.695312,counterclockwise,0,0,1439.677368,1439.677368,counterclockwise
24.710096,823.669922,823.669922,823.669922,823.669922,clockwise,0,0,2210.102051,2210.102051,counterclockwise
7.180135,239.337845,239.337845,239.337845,239.337845,clockwise,0,0,170.792374,170.792374,counterclockwise
1.952706,65.090210,65.090210,65.090210,65.090210,clockwise,0,0,232.850082,232.850082,clockwise
41.805267,1393.509033,1393.509033,1393.509033,1393.509033,counterclockwise,0,0,1844.351196,1844.351196,counterclockwise
2.469176,82.305870,82.305870,82.305870,82.305870,counterclockwise,0,0,2781.511475,2781.511475,counterclockwise
48.522106,1617.403687,1617.403687,1617.403687,1617.403687,clockwise,0,0,2211.082275,2211.082275,counterclockwise
21.025547,700.851624,700.851624,700.851624,700.851624,clockwise,0,0,1891.130005,1891.130005,counterclockwise
38.797295,1293.243286,1293.243286,1293.243286,1293.243286,clockwise,0,0,1516.772217,1516.772217,counterclockwise
38.013252,1267.108521,1267.108521,1267.108521,1267.108521,counterclockwise,0,0,1136.531860,1136.531860,counterclockwise
35.222618,1174.087402,1174.087402,1174.087402,1174.087402,counterclockwise,0,0,1210.685303,1210.685303,counterclockwise
43.053749,1435.125122,1435.125122,1435.125122,1435.125122,clockwise,0,0,2974.958740,2974.958740,counterclockwise
37.997478,1266.582764,1266.582764,1266.582764,1266.582764,counterclockwise,0,0,1707.910889,1707.910889,counterclockwise
17.495886,583.196228,583.196228,583.196228,583.196228,counterclockwise,0,0,403.413208,403.413208,clockwise
7.447696,248.256546,248.256546,248.256546,248.256546,clockwise,0,0,1916.811279,1916.811279,counterclockwise
31.867399,1062.246704,1062.246704,1062.246704,1062.246704,counterclockwise,0,0,2048.527832,2048.527832,counterclockwise
40.276054,1342.535278,1342.535278,1342.535278,1342.535278,counterclockwise,0,0,2554.377197,2554.377197,counterclockwise
5.381541,179.384720,179.384720,179.384720,179.384720,clockwise,0,0,939.116211,939.116211,clockwise
16.765423,558.847473,558.847473,558.847473,558.847473,counterclockwise,0,0,2035.158936,2035.158936,counterclockwise
10.066947,335.564911,335.564911,335.564911,335.564911,counterclockwise,0,0,1374.513184,1374.513184,counterclockwise
13.069004,435.633514,435.633514,435.633514,435.633514,counterclockwise,0,0,1859.591919,1859.591919,counterclockwise
29.562057,985.401978,985.401978,985.401978,985.401978,clockwise,0,0,2296.593018,2296.593018,counterclockwise
39.051071,1301.702515,1301.702515,1301.702515,1301.702515,clockwise,0,0,3099.565430,3099.565430,counterclockwise
0.167692,5.589734,5.589734,5.589734,5.589734,counterclockwise,0,0,1004.624329,1004.624329,counterclockwise
32.944073,1098.135864,1098.135864,1098.135864,1098.135864,counterclockwise,0,0,1433.234863,1433.234863,counterclockwise
30.278271,1009.275757,1009.275757,1009.275757,1009.275757,counterclockwise,0,0,1690.862305,1690.862305,counterclockwise
28.851803,961.726807,961.726807,961.726807,961.726807,counterclockwise,0,0,18.563787,18.563787,counterclockwise
10.520118,350.670624,350.670624,350.670624,350.670624,counterclockwise,0,0,747.315247,747.315247,clockwise
30.065145,1002.171570,1002.171570,1002.171570,1002.171570,clockwise,0,0,1395.750732,1395.750732,counterclockwise
43.826973,1460.899170,1460.899170,1460.899170,1460.899170,clockwise,0,0,3148.694824,3148.694824,counterclockwise
25.006180,833.539368,833.539368,833.539368,833.539368,counterclockwise,0,0,129.462997,129.462997,counterclockwise
2.082989,69.432961,69.432961,69.432961,69.432961,counterclockwise,0,0,360.339661,360.339661,clockwise
10.021577,334.052582,334.052582,334.052582,334.052582,clockwise,0,0,887.206055,887.206055,counterclockwise
28.150730,938.357727,938.357727,938.357727,938.357727,counterclockwise,0,0,1108.113159,1108.113159,counterclockwise
10.543936,351.464539,351.464539,351.464539,351.464539,clockwise,0,0,700.485291,700.485291,clockwise
10.202850,340.095032,340.095032,340.095032,340.095032,clockwise,0,0,2994.637939,2994.637939,counterclockwise
43.023544,1434.118286,1434.118286,1434.118286,1434.118286,counterclockwise,0,0,2818.923340,2818.923340,counterclockwise
32.904377,1096.812622,1096.812622,1096.812622,1096.812622,counterclockwise,0,0,2108.141113,2108.141113,counterclockwise
11.238810,374.627014,374.627014,374.627014,374.627014,clockwise,0,0,70.333832,70.333832,clockwise
0.393932,13.131083,13.131083,13.131083,13.131083,counterclockwise,0,0,3176.650146,3176.650146,counterclockwise
3.747631,124.921051,124.921051,124.921051,124.921051,clockwise,0,0,1684.406738,1684.406738,counterclockwise
16.872000,562.400024,562.400024,562.400024,562.400024,counterclockwise,0,0,571.888306,571.888306,clockwise
13.511842,450.394775,450.394775,450.394775,450.394775,counterclockwise,0,0,2145.115967,2145.115967,counterclockwise
17.615339,587.178040,587.178040,587.178040,587.178040,counterclockwise,0,0,640.477722,640.477722,clockwise
27.027533,900.917847,900.917847,900.917847,900.917847,clockwise,0,0,1388.429443,1388.429443,counterclockwise
46.347355,1544.911987,1544.911987,1544.911987,1544.911987,clockwise,0,0,2115.882080,2115.882080,counterclockwise
27.451786,915.059631,915.059631,915.059631,915.059631,counterclockwise,0,0,2282.752930,2282.752930,counterclockwise
12.950789,431.693024,431.693024,431.693024,431.693024,clockwise,0,0,688.109619,688.109619,clockwise
46.927139,1564.238037,1564.238037,1564.238037,1564.238037,clockwise,0,0,2088.112793,2088.112793,counterclockwise
